city,state_id,state_name,lat,lng,timezone
El Monte,CA,California,34.0739,-118.0291,America/Los_Angeles
Idaho Falls,ID,Idaho,43.4871,-112.0362,America/Boise
Dearborn,MI,Michigan,42.3127,-83.213,America/Detroit
Bloomington,IN,Indiana,39.1637,-86.5257,America/Indiana/Indianapolis
West Covina,CA,California,34.0555,-117.9113,America/Los_Angeles
Sparks,NV,Nevada,39.5736,-119.7161,America/Los_Angeles
South Fulton,GA,Georgia,33.6273,-84.58,America/New_York
Centennial,CO,Colorado,39.5926,-104.8673,America/Denver
Sandy Springs,GA,Georgia,33.9366,-84.3703,America/New_York
Inglewood,CA,California,33.9566,-118.3444,America/Los_Angeles
Hillsboro,OR,Oregon,45.5273,-122.936,America/Los_Angeles
Columbia,MD,Maryland,39.2004,-76.859,America/New_York
Burbank,CA,California,34.1879,-118.3235,America/Los_Angeles
Davie,FL,Florida,26.0789,-80.287,America/New_York
El Cajon,CA,California,32.8017,-116.9604,America/Los_Angeles
Jurupa Valley,CA,California,34.001,-117.4706,America/Los_Angeles
Allen,TX,Texas,33.1088,-96.6735,America/Chicago
Auburn,AL,Alabama,32.6087,-85.4903,America/Chicago
